일련번호,기관/담당부점,카테고리,물건정보,최저입찰가(원),낙찰가(원),낙찰가율(%),입찰결과,개찰일시
2025-0500-033595,강원도 화천군 농업기술센터,[농/임/축산용기계 / 농업용기계],땅속작물수확기(두르기계 DR1400-A) 외 42대,"6,541,000","33,100,000",506.04%,낙찰,2025-06-05 15:00
2025-0300-017177,서울특별시 금천구,[산업기계 / 섬유기계및섬유기계부품],JUKI 인터록 MO-6816S,"444,000",-,-,유찰,2025-06-05 14:00
2025-0300-017197,서울특별시 금천구,[산업기계 / 섬유기계및섬유기계부품],GCC 컷팅플로터기 J5-61LX,"1,597,000",-,-,유찰,2025-06-05 14:00
2025-0300-018005,서울특별시 금천구,[산업기계 / 기타설비],Klarwind 냉난방기 천장형 4way,"3,402,000",-,-,유찰,2025-06-05 14:00
2025-0300-018011,서울특별시 금천구,[산업기계 / 섬유기계및섬유기계부품],JUKI 사절본봉 DDL9000C,"1,764,000",-,-,유찰,2025-06-05 14:00
2025-0300-018019,서울특별시 금천구,[산업기계 / 섬유기계및섬유기계부품],SUNSTAR 사절본봉 KM-2522A,"1,756,000",-,-,유찰,2025-06-05 14:00
2025-0300-018020,서울특별시 금천구,[산업기계 / 섬유기계및섬유기계부품],모베이스썬스타 니혼오버록 SCE9214,"350,500",-,-,유찰,2025-06-05 14:00
2025-0500-034343,파산재단(서울회생법원관할),[무형자산 / 상표권],[무형자산/ 상표권 등] 무형자산(상표권 25점과 디자인권 1점) 및 이에 부수된 일체의 권리 상표권,"2,000,000","2,200,100",110.01%,낙찰,2025-06-05 14:00
2025-0500-035814,파산재단(서울회생법원관할),[재활용품 / 재활용품],삼성전자 등 LED 모니터 등 집기비품 11점 LED 모니터 등,"1,500,000",-,-,유찰,2025-06-05 14:00
2021-04253-002,서울동부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","서울특별시 송파구 신천동 7-18 롯데캐슬골드 9층 914호 ㈜수암디앤씨 미발행주식 50,000주","55,332,000",-,-,유찰,2025-06-05 11:00
2022-00090-001,광주전남지역본부,[자동차 / 기타차량],제주특별자치도 제주시 영평동 ****,"3,500,000",-,-,취소,2025-06-05 11:00
2023-04328-006,서울동부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","경기도 파주시 오도동 114-20 201호 주식회사 자향건설 비상장주식 6,000주","22,842,000",-,-,유찰,2025-06-05 11:00
2023-05789-001,전북지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","전북특별자치도 전주시 완산구 효자동2가 1211-3 2층(유한회사 한미종합건설 비상장주식 30,250주)","61,104,000",-,-,유찰,2025-06-05 11:00
2023-06740-001,서울서부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","서울특별시 영등포구 여의도동 25-4 208호 (주)창조투자자문 미발행주식 4,120,000주","1,905,912,000",-,-,유찰,2025-06-05 11:00
2023-09156-001,서울서부지역본부,[무형자산 / 특허권],"대전광역시 서구 둔산동 920 정부대전청사 4동 특허청[등록번호 : 10-2199406-00-00 ,티브이의 부팅 로고 변경 장치 및 방법]","1,008,000",-,-,유찰,2025-06-05 11:00
2023-09955-001,대구경북지역본부,[무형자산 / 특허권],"대전광역시 서구 둔산동 920 정부대전청사 4동 특허청 [특허등록번호:10-2022185-00-00 ,발명의명칭:거푸집용 목재 지지대 고정구]","4,251,000",-,-,유찰,2025-06-05 11:00
2023-11067-001,대구경북지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",대구광역시 동구 신암동 331-14 7층 대영리츠건설 주식회사 비상장주식 6000주,"659,820,000",-,-,유찰,2025-06-05 11:00
2023-11067-002,대구경북지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",경상북도 청도군 금천면 사전리 산2 주식회사 산동개발 비상장주식 20000주,"397,110,000",-,-,유찰,2025-06-05 11:00
2023-12109-001,광주전남지역본부,[선박 / 기타선박],전라남도 여수시 신월동 ****,"35,768,000",-,-,취소,2025-06-05 11:00
2023-13687-001,경기지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",경기도 광주시 경충대로1461번길 9-52 (주)이룸마을 주권 미발행 비상장주식,"65,676,000",-,-,유찰,2025-06-05 11:00
2023-14023-001,인천지역본부,[기타권리및증권 / 기타권리및증권],"인천광역시 강화군 하점면 창후리 249-7 대한민국산업유공자문화원 납골당 안치권 18좌(증서번호: 01171,01172,01173,01174,01175,01176,01177,01178,01179,01180,01201,01202,01203,01204,01205,01206,01207,01208)","9,000,000",-,-,유찰,2025-06-05 11:00
2023-14349-001,대구경북지역본부,[무형자산 / 특허권],"대전광역시 서구 둔산동 920 정부대전청사 4동 특허청 [등록번호:10-2369712-00-00 ,발명의 명칭:열연강판연마장치]","1,167,000",-,-,유찰,2025-06-05 11:00
2023-14349-002,대구경북지역본부,[무형자산 / 특허권],"대전광역시 서구 둔산동 920 정부대전청사 4동 특허청 [등록번호:10-2530446-00-00 ,발명의 명칭:용강 표면 모니터링 장치]","4,443,000",-,-,유찰,2025-06-05 11:00
2023-14761-003,대구경북지역본부,[무형자산 / 상표권],대전광역시 서구 둔산동 ****,"1,071,000,000",-,-,취소,2025-06-05 11:00
2024-00038-004,광주전남지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","경기도 성남시 중원구 상대원동 513-22 2층 ㈜제이비케이랩 비상장주식 24,363주","187,596,000",-,-,유찰,2025-06-05 11:00
2024-00343-001,강원지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",경기도 양주시 산북동 ****,"945,006,000",-,-,취소,2025-06-05 11:00
2024-01511-006,부산지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","부산광역시 동구 수정동 247-7 부산진세무서 징세과 보관 건설공제조합 출자증권 13좌[5좌권 2매(너제025735, 너제029750), 1좌권 3매(거제073600, 거제073601, 거제093611)]","18,111,000","19,962,000",110.22%,낙찰,2025-06-05 11:00
2024-02089-001,서울서부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","경기도 용인시 기흥구 구갈동 354 6층 602-14 에이호 ㈜아이미플 미발행 비상장주식 980,000주","115,763,000",-,-,유찰,2025-06-05 11:00
2024-02173-001,서울서부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",서울특별시 서초구 반포동 ****,"30,929,000",-,-,취소,2025-06-05 11:00
2024-02620-001,서울동부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","경기도 광주시 도척면 상림리 85-7 ㈜맥스피아아이시티 미발행 비상장주식 300,000주","333,630,000",-,-,유찰,2025-06-05 11:00
2024-03314-003,서울동부지역본부,[미분류기타 / 미분류기타],서울특별시 종로구 종로****,"800,000",-,-,취소,2025-06-05 11:00
2024-03819-001,서울동부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",경기도 성남시 판교동 ****,"662,834,000",-,-,취소,2025-06-05 11:00
2024-03858-001,서울서부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","서울특별시 서초구 서초동 1357-6 2층 ㈜플렉스신소재 비상장 미발행 주식 180,000주","8,442,000",-,-,유찰,2025-06-05 11:00
2024-04136-001,서울동부지역본부,[회원권 / 기타회원권],서울특별시 강남구 역삼동 603 노보텔 앰배서더 강남 서울 3층 헬스클럽(헬스회원권 회원번호 : 12055110),"12,000,000",-,-,유찰,2025-06-05 11:00
2024-04564-001,부산지역본부,[자동차 / 기타차량],부산광역시 강서구 대저1동 ****,"1,750,000",-,-,취소,2025-06-05 11:00
2024-05232-001,서울동부지역본부,[회원권 / 콘도미니엄회원권],경기도 포천시 내촌면 ****,"4,400,000",-,-,취소,2025-06-05 11:00
2024-05817-001,경기지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",경기도 안양시 동안구 관양동 1591-11 1008호 대신산업(주) 주권 미발행 비상장주식,"187,356,000",-,-,유찰,2025-06-05 11:00
2024-07040-001,광주전남지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",광주광역시 북구 중흥동 ****,"8,521,000",-,-,취소,2025-06-05 11:00
2024-07832-001,서울동부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","충청남도 천안시 서북구 두정동 1469 코리타운 4층 406,407,408,409호 주식회사 월드펍바이오 비상장미발행주식 126,000주","14,642,000",-,-,유찰,2025-06-05 11:00
2024-07936-001,인천지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","인천광역시 계양구 작전동 422-1 계양세무서 내 보관중인 건설공제조합 출자증권 총11좌[1좌권 1매(거제083306호), 10좌권 1매(더제079405호)]","15,385,000","16,860,000",109.59%,낙찰,2025-06-05 11:00
2024-07963-001,서울동부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","서울특별시 중구 필동1가 30-1 (주)매일방송의 전자발행 비상장주식 26,667주(강남세무서 보유 미래에셋증권 계좌 보관)","32,758,000",-,-,유찰,2025-06-05 11:00
2024-08034-001,경기지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",전북특별자치도 정읍시 산내면 매죽리 산290 ㈜앙투카의 주권 미발행 비상장주식,"10,514,000",-,-,유찰,2025-06-05 11:00
2024-08064-001,서울동부지역본부,[무형자산 / 상표권],대전광역시 서구 둔산동 920 정부대전청사 4동 특허청(상표등록번호 : 제1822681호),"5,300,000",-,-,유찰,2025-06-05 11:00
2024-08929-001,서울동부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","서울특별시 송파구 풍납동 388-6 송파세무서 내 보관중인 전문건설공제조합 출자증권 총 24좌 (십오좌권 1매: 라제023862호, 오좌권 1매: 나제062185호, 일좌권 4매: 가제320350호, 가제320351호, 가제320352호, 가제320353호)","20,449,000","22,527,000",110.16%,낙찰,2025-06-05 11:00
2024-08945-001,경기지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",충청북도 청주시 송정동 ****,"289,196,000",-,-,취소,2025-06-05 11:00
2024-09101-001,서울동부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","서울특별시 송파구 신천동 29-5 송파구청 내 보관 전문건설공제조합 출자증권 총 2좌 (일좌권 2매: 가제075085호, 가제075086호)","1,705,000","1,827,000",107.16%,낙찰,2025-06-05 11:00
2024-09260-001,서울서부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",서울특별시 마포구 서교동 ****,"204,000,000",-,-,취소,2025-06-05 11:00
2024-09296-001,광주전남지역본부,[미분류기타 / 미분류기타],광주광역시 북구 오룡동 ****,"1,032,000",-,-,취소,2025-06-05 11:00
2024-09345-001,서울동부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",서울특별시 서초구 양재동 ****,"178,708,000",-,-,취소,2025-06-05 11:00
2024-09636-001,서울동부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","서울특별시 강북구 수유동 192-59 강북구청 내 보관중인 건설공제조합 출자증권 총20좌[10좌권 2매(더076936호,더076937호)]","27,872,000","30,702,000",110.15%,낙찰,2025-06-05 11:00
2024-09646-001,경기지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","충청북도 청주시 흥덕구 송정동 123-2 ㈜디에프텍 주권미발행 비상장주식 2,500주","289,196,000",-,-,유찰,2025-06-05 11:00
2024-10057-001,경기지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","경기도 용인시 처인구 양지면 평창리 362 1층 세일건설㈜ 비상장 주권 미발행 주식 50,000주","21,809,550,000",-,-,유찰,2025-06-05 11:00
2024-10501-001,서울동부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","충청남도 아산시 영인면 월선리 346-2 주식회사웰푸드팜 비상장주식 454,545주 [발행주식]","191,387,000",-,-,유찰,2025-06-05 11:00
2024-10956-001,인천지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",인천광역시 남동구 남동****,"437,000",-,-,취소,2025-06-05 11:00
2024-10958-001,인천지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",인천광역시 남동구 남동****,"2,621,000",-,-,취소,2025-06-05 11:00
2024-11298-001,서울서부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","서울특별시 강남구 신사동 651-24 14층 (주)고위드 비상장주식 7,775주","1,754,891,000",-,-,유찰,2025-06-05 11:00
2024-11479-001,대전충남지역본부,[기타권리및증권 / 기타권리및증권],"인천광역시 강화군 하점면 창후리 249-7 대한민국산업유공자문화원주식회사 납골당 분양증서 49좌(증서번호 : 0759~0777,0796~0799,0872~0875,0878~0888,0890~0900)","205,800,000",-,-,유찰,2025-06-05 11:00
2024-11995-001,대구경북지역본부,[무형자산 / 특허권],"대전광역시 서구 둔산동 920 정부대전청사 4동 특허청 [ 등록번호:10-2372413-00-00 ,발명의 명칭:향수 시향장치 ]","3,312,000",-,-,유찰,2025-06-05 11:00
2024-13193-001,대구경북지역본부,[자동차 / 기타차량],"대구광역시 북구 금호동 416 오토마트 대구보관소 내 보관중인 차량1대 (270마9700,2019년식,Mercedes-AMGCLS53 4Matic+)","45,500,000",-,-,유찰,2025-06-05 11:00
2024-13195-001,충북지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",충청북도 충주시 금릉동 ****,"7,393,000",-,-,취소,2025-06-05 11:00
2024-13726-001,인천지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",인천광역시 동구 창영동 ****,"6,518,000",-,-,취소,2025-06-05 11:00
2024-14289-001,부산지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",경기도 용인시 동천동 ****,"431,731,000",-,-,취소,2025-06-05 11:00
2024-14672-001,인천지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",경기도 김포시 장기동 ****,"12,074,000",-,-,취소,2025-06-05 11:00
2024-14820-001,대구경북지역본부,[무형자산 / 특허권],"대전광역시 서구 둔산동 920 정부대전청사 4동 특허청 [등록번호:10-2516866-00-00 ,발명의 명칭:사용자 단말기를 이용하여 노래 예약이 가능한 노래방서비스 제공시스템]","5,100,000",-,-,유찰,2025-06-05 11:00
2024-14820-002,대구경북지역본부,[무형자산 / 특허권],"대전광역시 서구 둔산동 920 정부대전청사 4동 특허청 [등록번호:10-2516867-00-00 ,발명의 명칭:소음 피해를 방지할 수 있는 노래방서비스 제공시스템]","5,100,000",-,-,유찰,2025-06-05 11:00
2024-14970-001,대전충남지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",충청남도 당진시 수청동 ****,"569,000",-,-,취소,2025-06-05 11:00
2024-15271-001,전북지역본부,[무형자산 / 상표권],대전광역시 서구 둔산동 920 정부대전청사 4동 특허청(상표등록번호: 40-2114901-00-00),"1,052,000",-,-,유찰,2025-06-05 11:00
2024-15276-003,전북지역본부,[무형자산 / 특허권],대전광역시 서구 둔산동 920 정부대전청사 4동 특허청(특허등록번호 : 10-2567358-00-00),"7,623,000",-,-,유찰,2025-06-05 11:00
2024-15276-005,전북지역본부,[무형자산 / 특허권],대전광역시 서구 둔산동 ****,"6,309,000",-,-,취소,2025-06-05 11:00
2024-15480-001,대전충남지역본부,[무형자산 / 특허권],대전광역시 서구 둔산동 ****,"2,068,000",-,-,취소,2025-06-05 11:00
2024-15679-001,서울서부지역본부,[무형자산 / 특허권],대전광역시 서구 둔산동 920 정부대전청사4동특허청[등록번호 : 10-2585316-00-00],"13,024,000",-,-,유찰,2025-06-05 11:00
2024-15738-001,서울동부지역본부,[자동차 / 기타차량],서울특별시 도봉구 도봉동 ****,"4,000,000",-,-,취소,2025-06-05 11:00
2024-16108-001,서울동부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]","서울특별시 구로구 구로동 170-5 , 708호 주식회사 공지 비상장주식 2,400주","33,693,000",-,-,유찰,2025-06-05 11:00
2024-16228-001,강원지역본부,[무형자산 / 특허권],대전광역시 서구 둔산동 ****,"10,559,000",-,-,취소,2025-06-05 11:00
2024-16246-001,서울서부지역본부,[무형자산 / 특허권],대전광역시 서구 둔산동 920 정부대전청사 4동 특허청 [등록번호 10-2595236-00-00 특허권],"2,851,000",-,-,유찰,2025-06-05 11:00
2024-16399-001,서울동부지역본부,"[유가증권 / 유가증권(주식, 채권 등)]",경기도 평택시 청북읍 어연리 889-5 3동 2호 주식회사 대길산업 비상장주식 800주,"785,310,000",-,-,유찰,2025-06-05 11:00
